"","TITULO","ABSTRACT","OWASP","CWE","URL"
"14"," EJB Bad Practices: Use of AWT/Swing","  The program violates the Enterprise JavaBeans specification by using AWT/Swing. ",NA,"575","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/ejb_bad_practices_use_of_awt_swing.html"
"15"," EJB Bad Practices: Use of Class Loader","  The program violates the Enterprise JavaBeans specification by using the class loader.",NA,"578","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/ejb_bad_practices_use_of_classloader.html"
"16"," EJB Bad Practices: Use of Sockets","  The program violates the Enterprise JavaBeans specification by using sockets.",NA,"577","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/ejb_bad_practices_use_of_sockets.html"
"17"," EJB Bad Practices: Use of Synchronization Primitives","  The program violates the Enterprise JavaBeans specification by using thread synchronization primitives.",NA,"574","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/ejb_bad_practices_use_of_synchronization_primitives.html"
"18"," EJB Bad Practices: Use of java.io","  The program violates the Enterprise JavaBeans specification by using the <code>java.io</code> package.",NA,"576","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/ejb_bad_practices_use_of_java_io.html"
"19"," File Disclosure: J2EE","  Constructing a server-side redirect path with user input could allow an attacker to download application binaries (including application classes or jar files) or view arbitrary files within protected directories.","A4 Insecure Direct Object References","552","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/file_disclosure_j2ee.html"
"20"," File Disclosure: Spring","  Constructing a server-side redirect path with user input could allow an attacker to download application binaries (including application classes or jar files) or view arbitrary files within protected directories.","A4 Insecure Direct Object References","552","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/file_disclosure_spring.html"
"21"," File Disclosure: Spring Webflow","  Constructing a server-side redirect path with user input could allow an attacker to download application binaries (including application classes or jar files) or view arbitrary files within protected directories.","A4 Insecure Direct Object References","552","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/file_disclosure_spring_webflow.html"
"22"," File Disclosure: Struts","  Constructing a server-side redirect path with user input could allow an attacker to download application binaries (including application classes or jar files) or view arbitrary files within protected directories.","A4 Insecure Direct Object References","552","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/file_disclosure_struts.html"
"23"," Immutable Classes: Field Mutation","  The class is annotated as immutable, but a field is mutated.",NA,"471","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/immutable_field_mutation.html"
"24"," Immutable Classes: Non-final Fields","  The class is annotated as immutable, but a field is not <code>final</code>.",NA,"471","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/immutable_non_final_fields.html"
"25"," Immutable Classes: Public Mutable Fields","  The class is annotated as immutable, but a field is mutated.",NA,"471","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/immutable_public_mutable_fields.html"
"26"," J2EE Bad Practices: Sockets","  Socket-based communication in web applications is prone to error.",NA,"246","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_badpractices_sockets.html"
"27"," J2EE Bad Practices: getConnection()","  The J2EE standard forbids the direct management of connections.",NA,"245","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_badpractices_getconnection.html"
"28"," Mass Assignment: Insecure Binder Configuration","  The framework binder used for binding the HTTP request parameters to the model class has not been explicitly configured to allow, or disallow certain attributes.","A4 Insecure Direct Object References","915","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/mass_assignment_insecure_binder_configuration.html"
"29"," Mass Assignment: Request Parameters Bound into Persisted Objects","   Allowing database persistent entities to be auto-populated by request parameters will allow an attacker to create unintended records in association entities or update unintended fields in the entity object.","A4 Insecure Direct Object References","915","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/mass_assignment_request_parameters_bound_into_persisted_objects.html"
"30"," Missing Check against Null","  The program can dereference a null pointer because it does not check the return value of a function that might return null.",NA,"253,690","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/missing_check_against_null.html"
"31"," Missing Check for Null Parameter","  This function violates the contract that it must compare its parameter with null.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/missing_check_for_null_parameter.html"
"32"," Object Model Violation: Erroneous clone() Method","  A <code>clone()</code> method should call <code>super.clone()</code> to obtain the new object.",NA,"580","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/object_model_violation_erroneous_clone_method.html"
"33"," Object Model Violation: Just one of equals() and hashCode() Defined","  This class overrides only one of <code>equals()</code> and <code>hashCode()</code>.",NA,"581","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/object_model_violation_just_one_of_equals_hashcode_defined.html"
"34"," Object Model Violation: Just one of restoreState() and saveState() Defined","  This class overrides only one of <code>saveState()</code> and <code>restoreState()</code>.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/object_model_violation_just_one_of_restoreState_saveState_defined.html"
"35"," Obsolete: Deprecated by ESAPI","  ESAPI offers a safer version of this method.",NA,"676","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/obsolete_deprecated_by_esapi.html"
"36"," Often Misused: Android Permission Check","  The functions, checkCallingOrSelfPermission() or checkCallingOrSelfUriPermission(), should be used with care as it allows the calling program, without the required or no permissions, to bypass the permission check, by using your application's permissions.","A4 Insecure Direct Object References","275","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/often_misused_android_permission_check.html"
"37"," Often Misused: Authentication","  Attackers can spoof DNS entries. Do not rely on DNS names for security.","A2 Broken Authentication and Session Management","247,292,558,807","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/often_misused_authentication.html"
"38"," Often Misused: Boolean.getBoolean()","  The method <code>Boolean.getBoolean()</code> is often confused with <code>Boolean.valueOf()</code> or <code>Boolean.parseBoolean()</code> method calls.",NA,NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/often_misused_boolean_getboolean.html"
"39"," Often Misused: Encoding","  ",NA,"176","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/often_misued_encoding.html"
"40"," Often Misused: File Upload","  Permitting users to upload files can allow attackers to inject dangerous content or malicious code to run on the server.","A1 Injection","434","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/often_misused_file_upload_spring.html"
"41"," Often Misused: Spring Remote Service","  Remote services are configured in the Spring application.  By default, these remote services do not require authentication and information transferred to or from this service is in plaintext.   This could allow an attacker to access privileged operations or expose sensitive data.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/often_misused_spring_remote_service.html"
"42"," Often Misused: Spring Web Service","  Web services are configured in the Spring application By default, these web services do not require authentication and information transferred to/from this service is in plaintext.   This could allow an attacker to access privileged operations or expose sensitive data.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/often_misused_spring_web_service.html"
"43"," Password Management: Weak Redundancy","  The password should be given twice instead of duplicated.",NA,"521","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/password_management_weak_redundancy.html"
"44"," Poor Style: Explicit Call to finalize()","  The <code>finalize()</code> method should only be called by the JVM after the object has been garbage collected.",NA,"586","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/poor_style_explicit_call_to_finalize.html"
"45"," Struts 2 Bad Practices: Application Map Tampering","  A Struts 2.x Action implements a class which allows an attacker to modify the application business logic by binding arbitrary data into the session, application or request server side objects","A4 Insecure Direct Object References","20","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/struts2_bad_practices_application_map_tampering.html"
"46"," Struts 2 Bad Practices: Dynamic Method Invocation","  The Struts 2 Action exposes a public method that can be invoked by end users overriding the Action's <code>execute()</code> method.","A4 Insecure Direct Object References","285","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/struts2_bad_practices_dynamic_method_invocation.html"
"47"," Struts 2 Bad Practices: Request Map Tampering","  A Struts 2.x Action implements a class which allows an attacker to modify the application business logic by binding arbitrary data into the session, application or request server side objects","A4 Insecure Direct Object References","20","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/struts2_bad_practices_request_map_tampering.html"
"48"," Struts 2 Bad Practices: Session Map Tampering","  A Struts 2.x Action implements a class which allows an attacker to modify the application business logic by binding arbitrary data into the session, application or request server side objects","A4 Insecure Direct Object References","20","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/struts2_bad_practices_session_map_tampering.html"
"49"," Unchecked Return Value","  Ignoring a method's return value can cause the program to overlook unexpected states and conditions.",NA,"252,754","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/unchecked_return_value.html"
"50"," Android Bad Practices: Use of Released Camera Resource","  The code references the <code>Camera</code> object after it has already been released.",NA,"416","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/android_bad_practices_use_of_released_camera_resource.html"
"51"," Android Bad Practices: Use of Released Media Resource","  The code references the Android media object after it has already been released.",NA,"416","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/android_bad_practices_use_of_released_media_resource.html"
"52"," Android Bad Practices: Use of Released SQLite Resource","  The code references the Android database handler after it has already been released.",NA,"416","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/android_bad_practices_use_of_released_sqlite_resource.html"
"53"," Code Correctness: Byte Array to String Conversion","  Converting a byte array into a <code>String</code> may lead to data loss.",NA,"486","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_byte_array_to_string_conversion.html"
"54"," Code Correctness: Call to Thread.run()","  The program calls a thread's <code>run()</code> method instead of calling <code>start()</code>.",NA,"572","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_call_to_thread_run.html"
"55"," Code Correctness: Call to Thread.stop()","  The program calls a thread's <code>stop()</code> method, potentially leaking resources.",NA,"572","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_call_to_thread_stop.html"
"56"," Code Correctness: Call to notify()","  It is ambiguous which thread will wake up when <code>notify()</code> is called.",NA,"373","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_call_to_notify.html"
"57"," Code Correctness: Class Does Not Implement Cloneable","  This class implements a <code>clone()</code> method but does not implement the <code>Cloneable</code> interface.",NA,"498","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_class_does_not_implement_cloneable.html"
"58"," Code Correctness: Comparison of Boxed Primitive Types","  Comparing boxed primitives using equality operators instead of their <code>equals()</code> method can result in unexpected behavior.",NA,"398,754","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_comparison_of_boxed_primitive_types.html"
"59"," Code Correctness: Comparison with NaN","  Making a comparison with <code>NaN</code> is always an error.",NA,"486","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_comparison_with_nan.html"
"60"," Code Correctness: Constructor Invokes Overridable Function","  A constructor of the class calls a function that can be overridden.",NA,NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_constructor_invokes_overridable_function.html"
"61"," Code Correctness: Erroneous Class Compare","  Determining an object's type based on its class name can lead to unexpected behavior or allow an attacker to inject a malicious class.",NA,"486","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_erroneous_class_compare.html"
"62"," Code Correctness: Erroneous Negative Value","  A field is erroneously assigned a negative value.",NA,"20","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/erroneous_negative_value_field.html"
"63"," Code Correctness: Erroneous String Compare","  Strings should be compared with the <code>equals()</code> method, not <code>==</code> or <code>!=</code>.",NA,"597","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_erroneous_string_compare.html"
"64"," Code Correctness: Erroneous Zero Value","  A variable is erroneously assigned a zero value.",NA,"20","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/erroneous_zero_value_field.html"
"65"," Code Correctness: Hidden Method","  Static methods cannot be overridden, but may appear to be hidden when called as an instance method.",NA,"486","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_hidden_method.html"
"66"," Code Correctness: Incorrect serialPersistentFields Modifier","  To use <code>serialPersistentFields</code> correctly, it must be declared <code>private</code>, <code>static</code>, and <code>final</code>.",NA,"485","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_incorrect_serialpersistentfields_modifier.html"
"67"," Code Correctness: Invalid Call to Object.equals()","  The program calls <code>Object.equals()</code> on an array instead of <code>java.util.Arrays.equals().</code>",NA,"398,754","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_call_to_object_equals.html"
"68"," Code Correctness: Misleading Method Signature","  This looks like an effort to override a common Java method, but it probably does not have the intended effect.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_misleading_method_signature.html"
"69"," Code Correctness: Non-Static Inner Class Implements Serializable","  Inner classes implementing <code>java.io.Serializable</code> may cause problems and leak information from the outer class.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_non_static_inner_class_implements_serializable.html"
"70"," Code Correctness: Non-Synchronized Method Overrides Synchronized Method","  Synchronized methods should not be overridden with non-syncrhonized methods.",NA,NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_non_synchronized_method_overrides.html"
"71"," Code Correctness: String Comparison of Float","  Comparing a floating-point value with a <code>String</code> object is unreliable and should not be done.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_string_comparison_of_float.html"
"72"," Code Correctness: clone() Invokes Overridable Function","  The <code>clone()</code> method within the class calls a function that can be overridden.",NA,NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_clone_invokes_overridable_function.html"
"73"," Code Correctness: null Argument to equals()","  The expression <code>obj.equals(null)</code> will always be false.",NA,"398,754","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_null_argument_to_equals.html"
"74"," Code Correctness: readObject() Invokes Overridable Function","  The <code>readObject()</code> method within the class calls a function that may be overridden.",NA,NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_readobject_invokes_overridable_function.html"
"75"," Dead Code: Empty Try Block","  Empty try blocks are either dead code or indicate the presence of debug code.",NA,"561","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/dead_code_empty_try_block.html"
"76"," Dead Code: Expression is Always false","  This expression (or part of it) will always evaluate to <code>false</code>.",NA,"570","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/dead_code_expression_is_always_false.html"
"77"," Dead Code: Expression is Always true","  This expression (or part of it) will always evaluate to <code>true</code>.",NA,"571","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/dead_code_expression_is_always_true.html"
"78"," Dead Code: Unused Field","  This field is never used.",NA,"561","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/dead_code_unused_field.html"
"79"," Dead Code: Unused Method","  This method is not reachable from any method outside the class.",NA,"561","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/dead_code_unused_method.html"
"80"," Null Dereference","  The program can potentially dereference a null pointer, thereby raising a <code>NullPointerException</code>.",NA,"476","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/null_dereference.html"
"81"," Obsolete","  The use of deprecated or obsolete functions could indicate neglected code.",NA,"477","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/obsolete.html"
"82"," Poor Style: Confusing Naming(class_and_member)","  A class member has the same name as the enclosing class.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/poor_style_confusing_naming_class_and_member.html"
"83"," Poor Style: Confusing Naming(member_and_method)","  The class contains a field and a method with the same name.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/poor_style_confusing_naming_member_and_method.html"
"84"," Poor Style: Empty Synchronized Block","  This synchronized block contains no statements; it is unlikely the synchronization achieves the intended effect.",NA,"585","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/poor_style_empty_synchronized_block.html"
"85"," Poor Style: Identifier Contains Dollar Symbol ($)","  Using a dollar sign ($) as part of an identifier is not recommended.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/poor_style_identifier_contains_dollar_symbol.html"
"86"," Poor Style: Redundant Initialization","  The variable's value is assigned but never used, making it a dead store.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/poor_style_redundant_initialization.html"
"87"," Poor Style: Value Never Read","  The variable's value is assigned but never used, making it a dead store.",NA,"563","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/poor_style_value_never_read.html"
"88"," Portability Flaw: File Separator","  The use of hardcoded file separators causes portability problems.",NA,"474","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/portability_flaw_file_separator.html"
"89"," Portability Flaw: Locale Dependent Comparison","  Unexpected portability problems can be found when the locale is not specified.",NA,"474","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/portability_flaw_locale_dependent_comparison.html"
"90"," Race Condition: Class Initialization Cycle","  Assigning a static field to a new object calls the constructor even if it is dependent on other variables initialization, which may lead to objects being initialized incorrectly.",NA,"362,367","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/race_condition_class_initialization_cycle.html"
"91"," Redundant Null Check","  The program can dereference a null pointer, thereby causing a null pointer exception.",NA,"476","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/null_dereference_dereference_after_check.html"
"92"," Unreleased Resource: Android Camera","  An Android activity fails to release the <code>Camera</code> instance in its <code>onPause()</code>, <code>onStop()</code>, or <code>onDestroy()</code> event handlers.",NA,"404,619","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/unreleased_resource_android_camera.html"
"93"," Unreleased Resource: Android Media","  An Android activity fails to release the <code>MediaRecorder</code>, <code>MediaPlayer</code>, or <code>AudioRecord</code> object in its <code>onPause()</code>, <code>onStop()</code>, or <code>onDestroy()</code> event handlers.",NA,"404,619","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/unreleased_resource_android_media.html"
"94"," Unreleased Resource: Android SQLite Database","  An Android activity fails to release the Android database handler in its <code>onPause()</code>, <code>onStop()</code>, or <code>onDestroy()</code> event handlers.",NA,"404,619","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/unreleased_resource_android_sqlite_database.html"
"95"," Unreleased Resource: Database","  The program can potentially fail to release a database connection.",NA,"404","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/unreleased_resource_database.html"
"96"," Unreleased Resource: Files","  The program can potentially fail to release a file handle.",NA,"404","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/unreleased_resource_files.html"
"97"," Unreleased Resource: Sockets","  The program can potentially fail to release a socket.",NA,"404","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/unreleased_resource_sockets.html"
"98"," Unreleased Resource: Streams","  The program can potentially fail to release a system resource.",NA,"404","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/unreleased_resource_streams.html"
"99"," Unreleased Resource: Synchronization","  The program fails to release a lock it holds, which might lead to deadlock.",NA,"411","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/unreleased_resource_synchronization.html"
"100"," ADF Bad Practices: Default url-invoke-disallowed Setting","  Relying on an implicit default <code>url-invoke-disallowed</code> setting lacks clarity and can lead to unwanted behavior if the default changes unexpectedly.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/adf_bad_practices_default_url_invoke_disallowed_setting.html"
"101"," Cross-Site Request Forgery","  HTTP requests must contain a user-specific secret in order to prevent an attacker from making unauthorized requests.","A8 Cross-Site Request Forgery (CSRF)","352","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/csrf.html"
"102"," Cross-Site WebSocket Hijacking","  The server fails to verify requests' origins, thereby accepting cross-domain requests which may be used by an attacker to hijack bidirectional WebSocket connections.","A8 Cross-Site Request Forgery (CSRF)","352","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/cross_site_websocket_hijacking.html"
"103"," File Based Cross-Zone Scripting","  Loading a file that can run unstrusted scripts within the context of your application is dangerous.","A3 Cross-Site Scripting (XSS)","79,80","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/file_based_cross_zone_scripting.html"
"104"," HTML5: Overly Permissive CORS Policy","  The program defines an overly permissive Cross-Origin Resource Sharing (CORS) policy.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/html5_overly_permissive_cors_policy.html"
"105"," Hidden Field","  The program creates a hidden form field.",NA,"472,642","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/hidden_field.html"
"106"," Insecure Storage: Android Backup Storage","  The program uses Android's backup service to save persistent application data to a remote cloud storage.","A6 Sensitive Data Exposure","359","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/insecure_storage_android_backup_storage.html"
"107"," Insecure Storage: Android External Storage","  The program writes data to the Android device's external storage.","A6 Sensitive Data Exposure",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/insecure_storage_android_external_storage.html"
"108"," Insecure Storage: Android World Readable or Writeable","  The application makes the data accessible to all applications on the Android device.","A6 Sensitive Data Exposure","359","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/insecure_storage_android_world_readable_or_writeable.html"
"109"," J2EE Bad Practices: Leftover Debug Code","  Debug code can create unintended entry points in a deployed web application.",NA,"489","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_badpractices_leftover_debug_code.html"
"110"," JavaScript Hijacking","  Applications that use JavaScript notation to transport sensitive data can be vulnerable to JavaScript hijacking, which allows an unauthorized attacker to read confidential data from a vulnerable application.",NA,NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/javascript_hijacking.html"
"111"," JavaScript Hijacking: Vulnerable Framework","  Applications that leverage versions of the DWR Ajax framework 1.1.4 and earlier are vulnerable to JavaScript hijacking, which allows an unauthorized attacker to read confidential data.",NA,NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/javascript_hijacking_vulnerable_framework.html"
"112"," Mass Assignment: Sensitive Field Exposure","  A sensitive field is exposed to the model binder.","A4 Insecure Direct Object References","915","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/mass_assignment_sensitive_field_exposure.html"
"113"," Poor Logging Practice: Logger Not Declared Static Final","  Declare loggers to be static and final.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/poor_logging_practice_logger_is_not_declared_static_final.html"
"114"," Poor Logging Practice: Multiple Loggers","  Use logging levels rather than multiple loggers in a single class.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/poor_logging_practice_multiple_loggers.html"
"115"," Poor Logging Practice: Use of a System Output Stream","  Using <code>System.out</code> or <code>System.err</code> rather than a dedicated logging facility makes it difficult to monitor the behavior of the program.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/poor_logging_practice_use_of_a_system_output_stream.html"
"116"," Poor Style: Non-final Public Static Field","  Non-final public static fields can be changed by external classes.",NA,"493","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/poor_style_non-final_public_static_field.html"
"117"," System Information Leak","  Revealing system data or debugging information helps an adversary learn about the system and form a plan of attack.",NA,"497","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/system_information_leak.html"
"118"," System Information Leak: Apache Axis","  Revealing system data or debugging information helps an adversary learn about the system and form a plan of attack.","A5 Security Misconfiguration","497","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/system_information_leak_apache_axis.html"
"119"," System Information Leak: Apache Axis 2","  Revealing system data or debugging information helps an adversary learn about the system and form a plan of attack.","A5 Security Misconfiguration","497","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/system_information_leak_apache_axis2.html"
"120"," System Information Leak: External","  Revealing system data or debugging information helps an adversary learn about the system and form a plan of attack.",NA,"497","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/system_information_leak_external.html"
"121"," System Information Leak: HTML Comment in JSP","  Any information revealed in an HTML comment might help an adversary learn about the system and form a plan of attack.",NA,"615","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/system_information_leak_html_comment_in_jsp.html"
"122"," System Information Leak: Incomplete Servlet Error Handling","  If a Servlet fails to catch all exceptions, it might reveal debugging information that will help an adversary form a plan of attack.",NA,"209,431","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/system_information_leak_incomplete_servlet_error_handling.html"
"123"," System Information Leak: Internal","  Revealing system data or debugging information helps an adversary learn about the system and form a plan of attack.",NA,"497","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/system_information_leak_internal.html"
"124"," System Information Leak: Overly Broad SQL Logging","  Logging too much information about SQL queries can leak system information or compromise private user data.","A5 Security Misconfiguration","497","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/system_information_leak_overly_broad_sql_logging.html"
